"strategy","time","strategy_value_index","growth_rate","regime_shift","shock"
"Defensive Resilience Strategy",34,225.417642796741,4.89796446211818,1,1.2074762528501
"Defensive Resilience Strategy",35,223.346771109854,-0.918682167550751,-1.2,-1.57249261982945
"Defensive Resilience Strategy",36,217.499150051555,-2.61818025362113,-1.2,-4.01508021836536
"Defensive Resilience Strategy",37,228.337707042002,4.98326406695292,0,2.66357996873901
"Defensive Resilience Strategy",38,246.166168385147,7.80793569932139,1,4.20290541263676
"Defensive Resilience Strategy",39,260.726386240151,5.9147924146194,1,1.84079656952507
"Defensive Resilience Strategy",40,269.298354313927,3.28772557215613,1,0.184946921885356
"Staged Optionality Strategy",1,102.457235048139,2.4572350481394,1,-1.37915851062311
"Staged Optionality Strategy",2,108.366388728318,5.76743426406367,1,1.76417313987466
"Staged Optionality Strategy",3,112.991124572163,4.26768474811852,1,0.148346182537973
"Staged Optionality Strategy",4,109.74228899134,-2.87530157180508,-2.8,-2.9913491952769
"Staged Optionality Strategy",5,114.797172939438,4.60614043552299,1,0.521986793702107
"Staged Optionality Strategy",6,115.465675663145,0.582333786268152,-1.2,-1.51375668952997
"Staged Optionality Strategy",7,117.899788487906,2.10808347223662,1,-1.69055779815549
"Staged Optionality Strategy",8,117.250385722129,-0.550809101616393,-1.2,-2.96811416426244
"Staged Optionality Strategy",9,119.110164366334,1.58615993691716,1,-2.87078304240838
"Staged Optionality Strategy",10,122.3187851078,2.69382613863064,-1.2,-0.000577605327460744
"Staged Optionality Strategy",11,131.322925477669,7.36120814307759,0,4.06649904092707
"Staged Optionality Strategy",12,133.800937608418,1.88696080424309,1,-2.00449393273613
"Staged Optionality Strategy",13,145.078358822991,8.4285068671023,2.1,3.09046909693996
"Staged Optionality Strategy",14,153.447762386948,5.76888491974763,2.1,0.366633856194947
"Staged Optionality Strategy",15,161.900685856787,5.50866518895436,1,1.86011667003218
"Staged Optionality Strategy",16,163.338527924625,0.888101282727047,0,-1.84414878018705
"Staged Optionality Strategy",17,175.218438378103,7.27318324979661,1,2.80327145357184
"Staged Optionality Strategy",18,180.09384142355,2.78247146280711,2.1,-2.67331147995083
"Staged Optionality Strategy",19,178.568443551568,-0.847001685301626,-1.2,-2.7849162690801
"Staged Optionality Strategy",20,183.060914615061,2.51582585038105,-1.2,0.209565813347698
"Staged Optionality Strategy",21,193.361852457874,5.62705472354536,2.1,0.03034854335236
"Staged Optionality Strategy",22,192.604052774851,-0.391907541942786,-1.2,-2.09262448799331
"Staged Optionality Strategy",23,208.833109044952,8.42612397625512,2.1,2.78550700020213
"Staged Optionality Strategy",24,210.419989702672,0.759879822207312,-1.2,-0.698946501070005
"Staged Optionality Strategy",25,217.872607299181,3.5417821315546,0,0.76541737942355
"Staged Optionality Strategy",26,227.345339603436,4.34783079051683,2.1,-0.807146901622975
"Staged Optionality Strategy",27,246.450529268866,8.40359855132973,1,4.15558916832883
"Staged Optionality Strategy",28,255.0038534491,3.47060491434476,1,-0.995578321698673
"Staged Optionality Strategy",29,258.813587396022,1.49399073598018,-2.8,0.447559631288017
"Staged Optionality Strategy",30,260.161166557941,0.520675585651065,1,-3.9469332858089
"Staged Optionality Strategy",31,258.012329042532,-0.825963976038337,0,-3.25309819284565
"Staged Optionality Strategy",32,268.923777922693,4.2290416588438,0,0.321286359430684
"Staged Optionality Strategy",33,271.916069986585,1.11269151690705,-2.8,1.30163496964202
"Staged Optionality Strategy",34,285.845868855803,5.12283031668754,-1.2,3.3324521729863
"Staged Optionality Strategy",35,287.992464354282,0.750962575415658,1,-3.10821505872063
"Staged Optionality Strategy",36,308.216838489241,7.02253587791076,0,3.35383058595782
"Staged Optionality Strategy",37,315.749110013204,2.44382220026761,-1.2,0.963447011683169
"Staged Optionality Strategy",38,319.875121838493,1.30673743628826,0,-1.31888860300022
"Staged Optionality Strategy",39,332.545228960964,3.96095421539787,2.1,-0.700505590760803
"Staged Optionality Strategy",40,341.088329751149,2.56900416730622,0,-0.613458372853244
"Modular Investment Strategy",1,103.050395519966,3.05039551996564,-2.8,2.94658344852909
"Modular Investment Strategy",2,105.868009765332,2.73421002524961,0,0.112853900341414
"Modular Investment Strategy",3,112.616777803329,6.37470001840627,0,3.2414519626404
"Modular Investment Strategy",4,117.761417476141,4.56827106330197,-1.2,3.39673724164607
"Modular Investment Strategy",5,121.217945672263,2.93519581387704,0,0.85426531771617
"Modular Investment Strategy",6,118.48444153046,-2.25503255862279,-2.8,-1.72622691612227
"Modular Investment Strategy",7,121.081950197531,2.19227827174503,0,-0.566660786162527
"Modular Investment Strategy",8,121.517252577663,0.359510545892263,-1.2,-1.45342275338611
"Modular Investment Strategy",9,130.078562107301,7.04534487740054,2.1,1.99329539646778
"Modular Investment Strategy",10,132.186130665148,1.62022744078916,0,-1.36567326373625
"Modular Investment Strategy",11,139.52557359131,5.55235476613969,1,1.65888020740582
"Modular Investment Strategy",12,144.283699265144,3.41021760481771,0,0.350998764877564
"Modular Investment Strategy",13,145.265904407568,0.680745744271388,-2.8,1.05492732790922
"Modular Investment Strategy",14,147.125318523921,1.28000725561557,2.1,-3.5556549252403
"Modular Investment Strategy",15,158.658375483929,7.8389342335616,2.1,2.59540704477623
"Modular Investment Strategy",16,157.77579061696,-0.556280035186798,-1.2,-2.71779598130263
"Modular Investment Strategy",17,161.293762552981,2.22972860555132,-2.8,1.58992003179123
"Modular Investment Strategy",18,163.565264842426,1.40830138344546,0,-1.99483105702097
"Modular Investment Strategy",19,167.403806333508,2.34679502080075,0,-0.294661046193243
"Modular Investment Strategy",20,167.002114272416,-0.239953959165767,-2.8,-0.640649091574058
"Modular Investment Strategy",21,164.09338088787,-1.74173446678758,0,-4.11196601004308
"Modular Investment Strategy",22,162.339533919204,-1.068810307385,-2.8,-0.92797520111927
"Modular Investment Strategy",23,167.917731216022,3.43612991989683,1,-1.02763115616889
"Modular Investment Strategy",24,186.784925453156,11.2359749625617,2.1,6.82149035061646
"Modular Investment Strategy",25,204.423120056767,9.44305037508737,2.1,4.81805178128434
"Modular Investment Strategy",26,208.635804080938,2.06076691472131,2.1,-2.49107282623023
"Modular Investment Strategy",27,225.932499572147,8.29037737190044,1,3.78769875490126
"Modular Investment Strategy",28,221.056783008708,-2.15804126129355,0,-4.91824715350856
"Modular Investment Strategy",29,229.742695133332,3.92926740650266,1,0.0800324657577229
"Modular Investment Strategy",30,225.112477720218,-2.01539265935178,1,-5.66107159292892
"Modular Investment Strategy",31,233.071647003553,3.53564109992475,1,-0.505586684578965
"Modular Investment Strategy",32,239.267802870317,2.65847688743916,-1.2,0.724028050828038
"Modular Investment Strategy",33,250.986191142317,4.89760349341781,1,0.969123260775777
"Modular Investment Strategy",34,242.921615328376,-3.21315518484785,-2.8,-3.38021288013652
"Modular Investment Strategy",35,251.056626895119,3.34882161710728,1,-0.311229047949052
"Modular Investment Strategy",36,255.1165510038,1.61713481093567,0,-1.23185241540152
"Modular Investment Strategy",37,254.712473889025,-0.15838921982338,1,-4.31314618980288
"Modular Investment Strategy",38,269.057619336906,5.63189749950416,0,2.7850925559305
"Modular Investment Strategy",39,274.769204785129,2.12281126336399,2.1,-2.97806230664282
"Modular Investment Strategy",40,282.51421654159,2.81873354858565,0,0.27889535458372
"No-Regrets Capacity Strategy",1,101.646886091906,1.64688609190602,2.1,-3.06424122251486
"No-Regrets Capacity Strategy",2,104.572380846342,2.87809579507474,0,0.272019104827454
"No-Regrets Capacity Strategy",3,108.131049338734,3.40306729519892,1,0.326862484388177
"No-Regrets Capacity Strategy",4,110.645441230599,2.32531905242882,2.1,-2.44162617783819
"No-Regrets Capacity Strategy",5,111.448301176453,0.725615024825452,2.1,-3.51483715023577
"No-Regrets Capacity Strategy",6,116.032764661632,4.11353375222946,1,-0.175862663554103
"No-Regrets Capacity Strategy",7,113.107276695091,-2.52126024495954,-2.8,-1.9046017077533
"No-Regrets Capacity Strategy",8,120.250392309517,6.31534577008888,1,3.06656098432459
"No-Regrets Capacity Strategy",9,119.369254104115,-0.732752873799245,-2.8,-0.788415841180313
"No-Regrets Capacity Strategy",10,123.018117881915,3.0567869466773,0,0.448482478500502
"No-Regrets Capacity Strategy",11,126.726043318708,3.01412954500931,2.1,-1.64340005846174
"No-Regrets Capacity Strategy",12,132.903682936958,4.87479878363526,2.1,0.740470569244125
"No-Regrets Capacity Strategy",13,139.084901886188,4.65090117341771,0,2.53899263891324
"No-Regrets Capacity Strategy",14,144.457496226857,3.86281635735346,-1.2,2.47780429726396
"No-Regrets Capacity Strategy",15,141.676133237743,-1.92538501757374,-1.2,-3.4692963923485
"No-Regrets Capacity Strategy",16,146.637876910595,3.50217327326817,-1.2,2.72439453750198
"No-Regrets Capacity Strategy",17,157.897158795325,7.67829030394006,1,3.76005536739632
"No-Regrets Capacity Strategy",18,166.744654230702,5.60332782608582,0,3.21446912452237
"No-Regrets Capacity Strategy",19,159.974823149081,-4.05999887244036,-2.8,-3.68108756122138
"No-Regrets Capacity Strategy",20,166.580201387819,4.1290111210705,1,0.163087600857974
"No-Regrets Capacity Strategy",21,171.712454347465,3.08095014706868,0,0.894904365194117
"No-Regrets Capacity Strategy",22,177.970608227689,3.64455444074034,-1.2,1.7555677214687
"No-Regrets Capacity Strategy",23,178.883836683627,0.513134424291964,-1.2,-0.729043659058918
"No-Regrets Capacity Strategy",24,186.677017807939,4.35655969191595,0,1.82143511697204
"No-Regrets Capacity Strategy",25,194.346111709339,4.10821535047763,-1.2,2.59426258780448
"No-Regrets Capacity Strategy",26,202.989928046637,4.44764048082753,2.1,0.157624705829647
"No-Regrets Capacity Strategy",27,209.979093645951,3.44310955059202,0,1.28600716838566
"No-Regrets Capacity Strategy",28,210.319918642385,0.162313776346197,-1.2,-1.14203678711616
"No-Regrets Capacity Strategy",29,222.252074643158,5.67333616225927,0,3.18006917129218
"No-Regrets Capacity Strategy",30,218.345607943039,-1.75767389635891,0,-3.96601895894026
"No-Regrets Capacity Strategy",31,218.785019953638,0.20124609546222,2.1,-4.7263183086836
"No-Regrets Capacity Strategy",32,217.967770337867,-0.373540023875572,-2.8,-0.161339869418331
"No-Regrets Capacity Strategy",33,224.17984480497,2.84999679423881,1,-0.334601311404132
"No-Regrets Capacity Strategy",34,224.454824660794,0.122660382811604,0,-2.52739119956487
"No-Regrets Capacity Strategy",35,232.392816685447,3.53656555908281,0,0.975526309500131
"No-Regrets Capacity Strategy",36,238.372252579178,2.57298654020954,0,-0.387141116226989
"No-Regrets Capacity Strategy",37,241.286066950446,1.22237984486046,1,-2.31989000823925
"No-Regrets Capacity Strategy",38,252.524956936583,4.65791088900549,2.1,-0.252424874596558
"No-Regrets Capacity Strategy",39,258.551163782323,2.38638070424579,-1.2,0.997354833483955
"No-Regrets Capacity Strategy",40,251.519266108785,-2.7197315883902,-1.2,-4.34049315323216
